INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_OT;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_IP;
;problem_50_1000_2_2_5.txt;8259;9391;0;8505;9177;11;8507;9640;4;8507;9640;0;8507;9640;0;8507;9640;0
;problem_50_1000_2_3_5.txt;12763;14187;0;13020;13879;11;12763;14187;11;13002;14405;0;13002;14405;0;13002;14405;0
;problem_50_1000_2_4_5.txt;14417;15872;0;14665;15530;11;10658;12075;11;14679;16120;0;14679;16120;0;14679;16120;0
;problem_50_1000_2_5_5.txt;22698;22946;0;22910;22038;11;16955;17706;11;22910;23098;0;22910;23098;0;22888;23098;0
;problem_50_1000_3_1_5.txt;4153;4343;0;4321;4471;11;4322;4512;4;4322;4512;0;4322;4512;0;4322;4512;0
;problem_50_1000_3_2_5.txt;9216;9466;0;9662;9882;11;9216;9466;11;9664;9914;0;9664;9914;0;9664;9914;0
;problem_50_1000_3_3_5.txt;12931;13271;0;13204;13494;11;7109;7349;11;13210;13550;0;13210;13550;0;13210;13550;0
;problem_50_1000_3_4_5.txt;14950;15360;0;15024;15384;11;5758;6008;11;15024;15424;0;15024;15424;0;15024;15424;0
;problem_50_1000_3_5_5.txt;20179;20629;0;20755;21145;11;5647;5887;11;20755;21205;0;20755;21205;0;20755;21205;0
;problem_50_1000_4_1_5.txt;3810;3810;0;4322;4322;11;4322;4322;0;4322;4322;0;4322;4322;0;4322;4322;0
;problem_50_1000_4_2_5.txt;9202;9202;0;9664;9664;11;9664;9664;1;9664;9664;0;9664;9664;0;9664;9664;0
;problem_50_1000_4_3_5.txt;12920;12920;0;13210;13210;11;11250;11250;11;13210;13210;0;13210;13210;0;13210;13210;0
;problem_50_1000_4_4_5.txt;14863;14863;0;15024;15024;11;10388;10388;11;15024;15024;0;15024;15024;0;15024;15024;0
;problem_50_1000_4_5_5.txt;20329;20329;0;20755;20755;11;11770;11770;11;20755;20755;0;20755;20755;0;20754;20754;0
;problem_100_50_1_1_5.txt;471;1223;0;485;882;11;275;913;11;488;1244;0;488;1244;0;488;1244;0
;problem_100_50_1_2_5.txt;744;1648;0;776;1126;11;175;892;11;779;1675;0;779;1675;0;779;1675;0
;problem_100_50_1_3_5.txt;1207;2066;0;1241;1563;11;254;863;11;1244;2094;0;1244;2094;0;1244;2094;0
;problem_100_50_1_4_5.txt;1642;2319;0;1663;1788;11;209;816;11;1664;2330;0;1664;2330;0;1664;2330;0
;problem_100_50_1_5_5.txt;2182;2415;0;2074;1822;11;185;702;11;2186;2415;0;2186;2415;0;2182;2415;0
;problem_100_50_2_1_5.txt;445;534;0;486;516;11;488;581;7;488;581;0;488;581;0;488;581;0
;problem_100_50_2_2_5.txt;747;894;0;778;870;11;253;340;11;779;928;0;779;928;0;779;928;0
;problem_100_50_2_3_5.txt;1233;1333;0;1244;1254;11;491;573;11;1244;1344;0;1244;1344;0;1244;1344;0
;problem_100_50_2_4_5.txt;1656;1788;0;1662;1662;11;443;537;11;1664;1795;0;1664;1795;0;1664;1795;0
;problem_100_50_2_5_5.txt;2176;2270;0;2074;2093;11;430;524;11;2191;2283;0;2191;2283;0;2191;2283;0
;problem_100_50_3_1_5.txt;477;837;0;477;707;11;254;504;11;480;840;0;480;840;0;480;840;0
;problem_100_50_3_2_5.txt;802;1392;0;831;1261;11;129;369;11;831;1421;0;831;1421;0;831;1421;0
;problem_100_50_3_3_5.txt;1268;1958;0;1275;1855;11;179;419;11;1276;1966;0;1276;1966;0;1276;1966;0
;problem_100_50_3_4_5.txt;1708;2518;0;1743;2413;11;140;380;11;1743;2553;0;1743;2553;0;1743;2553;0
;problem_100_50_3_5_5.txt;1992;2902;0;1825;2585;11;141;381;11;2011;2921;0;2011;2921;0;2011;2921;0
;problem_100_50_4_1_5.txt;441;441;0;480;480;11;480;480;0;480;480;0;480;480;0;480;480;0
;problem_100_50_4_2_5.txt;801;801;0;831;831;11;656;656;11;831;831;0;831;831;0;831;831;0
;problem_100_50_4_3_5.txt;1264;1264;0;1276;1276;11;650;650;11;1276;1276;0;1276;1276;0;1276;1276;0
;problem_100_50_4_4_5.txt;1735;1735;0;1743;1743;11;688;688;11;1743;1743;0;1743;1743;0;1743;1743;0
;problem_100_50_4_5_5.txt;1988;1988;0;1825;1825;11;570;570;11;2011;2011;0;2011;2011;0;2011;2011;0
;problem_100_100_1_1_5.txt;941;2299;0;939;1496;11;612;1816;11;941;2299;0;941;2299;0;941;2299;0
;problem_100_100_1_2_5.txt;1632;3377;0;1668;2330;11;360;1610;11;1676;3412;0;1676;3412;0;1676;3412;0
;problem_100_100_1_3_5.txt;2685;4068;0;2697;3032;11;531;1682;11;2718;4093;0;2718;4093;0;2718;4093;0
;problem_100_100_1_4_5.txt;3187;4474;0;3160;3316;11;485;1900;11;3228;4492;0;3228;4492;0;3228;4492;0
;problem_100_100_1_5_5.txt;4322;4905;0;3924;3922;11;635;1746;11;4354;4916;0;4354;4916;0;4354;4916;0
;problem_100_100_2_1_5.txt;881;1067;0;939;1008;11;776;949;11;946;1137;0;946;1137;0;946;1137;0
;problem_100_100_2_2_5.txt;1642;1923;0;1679;1810;11;671;849;11;1679;1960;0;1679;1960;0;1679;1960;0
;problem_100_100_2_3_5.txt;2717;2970;0;2717;2837;11;756;905;11;2719;2972;0;2719;2972;0;2719;2972;0
;problem_100_100_2_4_5.txt;3197;3469;0;3226;3331;11;575;742;11;3230;3499;0;3230;3499;0;3229;3499;0
;problem_100_100_2_5_5.txt;4319;4568;0;3924;4004;11;695;866;11;4358;4600;0;4358;4600;0;4358;4600;0
;problem_100_100_3_1_5.txt;853;1253;0;880;1100;11;367;617;11;880;1280;0;880;1280;0;880;1280;0
;problem_100_100_3_2_5.txt;1717;2267;0;1764;2164;11;311;551;11;1765;2315;0;1765;2315;0;1765;2315;0
;problem_100_100_3_3_5.txt;2524;3234;0;2525;3085;11;332;572;11;2526;3236;0;2526;3236;0;2526;3236;0
;problem_100_100_3_4_5.txt;3079;3909;0;3132;3832;11;190;430;11;3143;3973;0;3143;3973;0;3143;3973;0
;problem_100_100_3_5_5.txt;4011;4921;0;3725;4485;11;352;592;11;4053;4963;0;4053;4963;0;4053;4963;0
;problem_100_100_4_1_5.txt;852;852;0;880;880;11;880;880;3;880;880;0;880;880;0;880;880;0
;problem_100_100_4_2_5.txt;1743;1743;0;1765;1765;11;1356;1356;11;1765;1765;0;1765;1765;0;1765;1765;0
;problem_100_100_4_3_5.txt;2514;2514;0;2526;2526;11;1350;1350;11;2526;2526;0;2526;2526;0;2526;2526;0
;problem_100_100_4_4_5.txt;3135;3135;0;3143;3143;11;1388;1388;11;3143;3143;0;3143;3143;0;3143;3143;0
;problem_100_100_4_5_5.txt;3986;3986;0;3725;3725;11;1270;1270;11;4053;4053;0;4053;4053;0;4053;4053;0
;problem_100_500_1_1_5.txt;3749;11915;0;3865;7649;11;1935;8689;11;3977;12251;0;3977;12251;0;3977;12251;0
;problem_100_500_1_2_5.txt;7812;16700;0;7888;11123;11;2018;8234;11;7946;16827;0;7946;16827;0;7946;16827;0
;problem_100_500_1_3_5.txt;12908;20432;0;12962;14785;11;2226;9217;11;13119;20550;0;13119;20550;0;13119;20550;0
;problem_100_500_1_4_5.txt;17196;22806;0;16992;17623;11;2061;7841;11;17221;22811;0;17221;22811;0;17221;22811;0
;problem_100_500_1_5_5.txt;22848;25659;0;21124;20822;11;2610;8773;11;22848;25659;0;22848;25659;0;22848;25659;0
;problem_100_500_2_1_5.txt;3687;4427;0;3954;4298;11;3977;4741;11;3977;4741;0;3977;4741;0;3977;4741;0
;problem_100_500_2_2_5.txt;7733;8849;0;7909;8516;11;3704;4458;11;7945;9066;0;7945;9066;0;7945;9066;0
;problem_100_500_2_3_5.txt;12919;14155;0;13108;13664;11;3940;4690;11;13118;14354;0;13118;14354;0;13118;14354;0
;problem_100_500_2_4_5.txt;17130;18426;0;17221;17622;11;3596;4529;11;17230;18509;0;17230;18509;0;17230;18509;0
;problem_100_500_2_5_5.txt;22592;23438;0;21124;21185;11;3788;4552;11;22857;23677;0;22857;23677;0;22857;23677;0
;problem_100_500_3_1_5.txt;4047;4457;0;4163;4393;11;1520;1770;11;4164;4574;0;4164;4574;0;4164;4574;0
;problem_100_500_3_2_5.txt;8366;8936;0;8398;8808;11;1546;1786;11;8398;8968;0;8398;8968;0;8398;8968;0
;problem_100_500_3_3_5.txt;12434;13144;0;12622;13182;11;1095;1335;11;12626;13336;0;12626;13336;0;12626;13336;0
;problem_100_500_3_4_5.txt;15873;16693;0;15869;16569;11;1632;1872;11;15873;16693;0;15873;16693;0;15873;16693;0
;problem_100_500_3_5_5.txt;22690;23590;0;21325;22085;11;2000;2240;11;22886;23786;0;22886;23786;0;22886;23786;0
;problem_100_500_4_1_5.txt;3991;3991;0;4164;4164;11;4164;4164;0;4164;4164;0;4164;4164;0;4164;4164;0
;problem_100_500_4_2_5.txt;8343;8343;0;8398;8398;11;5960;5960;11;8398;8398;0;8398;8398;0;8398;8398;0
;problem_100_500_4_3_5.txt;12550;12550;0;12626;12626;11;5750;5750;11;12626;12626;0;12626;12626;0;12626;12626;0
;problem_100_500_4_4_5.txt;15788;15788;0;15876;15876;11;5888;5888;11;15876;15876;0;15876;15876;0;15875;15875;0
;problem_100_500_4_5_5.txt;22619;22619;0;21325;21325;11;7270;7270;11;22886;22886;0;22886;22886;0;22886;22886;0
;problem_100_1000_1_1_5.txt;7914;23884;0;8373;12907;11;3975;17570;11;8391;24357;0;8391;24357;0;8391;24357;0
;problem_100_1000_1_2_5.txt;15929;33591;0;16265;22046;11;3302;16404;11;16588;34184;0;16588;34184;0;16588;34184;0
;problem_100_1000_1_3_5.txt;24592;40347;0;25077;29402;11;4338;16583;11;25118;40778;0;25118;40778;0;25118;40778;0
;problem_100_1000_1_4_5.txt;34143;46603;0;34154;37654;11;4849;16019;11;34143;46603;0;34143;46603;0;34143;46603;0
;problem_100_1000_1_5_5.txt;46504;43499;0;41624;34322;11;7630;16601;11;46504;43499;0;46504;43499;0;46504;43499;0
;problem_100_1000_2_1_5.txt;7805;9516;0;8392;9243;11;8382;10081;11;8395;10152;0;8395;10152;0;8395;10152;0
;problem_100_1000_2_2_5.txt;15882;18106;0;16584;17474;11;7414;8934;11;16611;18860;0;16611;18860;0;16611;18860;0
;problem_100_1000_2_3_5.txt;24877;27832;0;25116;26548;11;6683;8227;11;25118;28061;0;25118;28061;0;25118;28061;0
;problem_100_1000_2_4_5.txt;33931;36715;0;34192;35068;11;7473;9039;11;34229;36978;0;34229;36978;0;34229;36978;0
;problem_100_1000_2_5_5.txt;46255;47157;0;41624;40468;11;13042;14724;11;46604;47456;0;46604;47456;0;46604;47456;0
;problem_100_1000_3_1_5.txt;8613;9023;0;8646;8896;11;2720;2960;11;8664;9074;0;8664;9074;0;8664;9074;0
;problem_100_1000_3_2_5.txt;17375;17915;0;17556;17956;11;3640;3880;11;17565;18105;0;17565;18105;0;17565;18105;0
;problem_100_1000_3_3_5.txt;25211;25911;0;25621;26201;11;2844;3084;11;25626;26326;0;25626;26326;0;25624;26324;0
;problem_100_1000_3_4_5.txt;31040;31850;0;31543;32203;11;2833;3073;11;31543;32353;0;31543;32353;0;31541;32351;0
;problem_100_1000_3_5_5.txt;39939;40849;0;38825;39585;11;2703;2943;11;40386;41296;0;40386;41296;0;40385;41295;0
;problem_100_1000_4_1_5.txt;8606;8606;0;8664;8664;11;8664;8664;7;8664;8664;0;8664;8664;0;8664;8664;0
;problem_100_1000_4_2_5.txt;17510;17510;0;17565;17565;11;13460;13460;11;17565;17565;0;17565;17565;0;17565;17565;0
;problem_100_1000_4_3_5.txt;24814;24814;0;25626;25626;11;11250;11250;11;25626;25626;0;25626;25626;0;25626;25626;0
;problem_100_1000_4_4_5.txt;31076;31076;0;31543;31543;11;10388;10388;11;31543;31543;0;31543;31543;0;31543;31543;0
